label,features
营业执照,"营业执照,企业名称,统一社会信用代码,法定代表人,注册资本,成立日期,登记机关"
营业执照,"营业执照,企业名称,社会信用代码,代表人,注册资本,成立日期,登记机关"
营业执照,"营业执照,名称,统一社会信用代码,法定代表人,注册资本"
营业执照,"营业执照,企业名称,统一,注册资本,成立日期,登记机关"
营业执照,"营业执照,公司名称,统一信用代码,法人,注册资金,注册日期,市场监管局"
营业执照,"营业执照,单位全称,社会信用代码,法定代表人姓名,注册资本金,成立年月,监管部门"
营业执照,"营业执照,机构名称,信用代码,法人代表,注册金额,成立日,登记机构"
营业执照,"营业执照,商户名称,统一社会信用代码,法定代表人,注册资本,注册日期,工商部门"
营业执照,"营业执照,企业全称,信用代码,法人,注册资金,成立时间,市场监督管理局"
营业执照,"营业执照,公司全称,统一信用代码,法定代表人,注册资本金,成立日期,监管机构"
营业执照,"营业执照,单位名称,社会信用代码,法人代表,注册金额,注册年月,工商局"
营业执照,"营业执照,机构全称,统一社会信用代码,法人姓名,注册资本,成立日,市场监管部门"
营业执照,"营业执照,商户全称,信用代码,法定代表人,注册资金,注册日期,登记机关"
身份证正面,"姓名,性别,男,民族,汉,出生日期,住址,公民身份号码"
身份证正面,"姓名,性别,女,民族,回,出生年月,住址,身份证号"
身份证正面,"姓名,性别,男,民族,满,出生日,住址,身份号码"
身份证正面,"姓名,性别,女,民族,藏,出生日期,住址,公民身份证号"
身份证正面,"姓名,性别,男,民族,蒙,出生年月,住址,身份证号码"
身份证正面,"姓名,性别,女,民族,维,出生日期,住址,身份号"
身份证正面,"姓名,性别,男,民族,壮,出生日,住址,公民身份号"
身份证正面,"姓名,性别,女,民族,苗,出生年月,住址,身份证编码"
身份证正面,"姓名,性别,男,民族,彝,出生日期,住址,身份编码"
身份证正面,"姓名,性别,女,民族,朝鲜,出生日,住址,公民身份证编码"
身份证反面,"中华人民共和国,居民身份证,签发机关,有效期限,长期"
身份证反面,"中华人民共和国居民身份证,签发机关,XX市公安局,有效期限,2020.01.01-2040.01.01"
身份证反面,"居民身份证,中华人民共和国,发证机关,有效期限,2015.05.10-2035.05.10"
身份证反面,"中华人民共和国,居民身份证,签发单位,有效期限,长期有效"
身份证反面,"居民身份证,签发机关,中华人民共和国,有效期限,2022.03.15-2042.03.15"
身份证反面,"中华人民共和国居民身份证,发证单位,XX省公安厅,有效期限,长期"
身份证反面,"居民身份证,中华人民共和国,签发机关,有效期限,2018.07.20-2038.07.20"
身份证反面,"中华人民共和国,居民身份证,发证机关,有效期限,长期使用"
身份证反面,"居民身份证,签发单位,中华人民共和国,有效期限,2021.11.05-2041.11.05"
身份证反面,"中华人民共和国居民身份证,签发机关,XX区公安局,有效期限,2019.09.30-2039.09.30"
资产负债表,"资产负债表,资产总计,负债合计,所有者权益,流动资产,期初余额,期末余额"
资产负债表,"资产负债表,总资产,总负债,股东权益,非流动资产,年初数,年末数"
资产负债表,"资产负债表,资产总额,负债总额,权益合计,流动负债,期初数,期末数"
资产负债表,"资产负债表,资产合计,负债总计,所有者权益合计,非流动负债,年初余额,年末余额"
资产负债表,"资产负债表,总资产额,负债总额,股东权益合计,流动资产,期初数,期末数"
资产负债表,"资产负债表,资产总计,负债合计,所有者权益,非流动资产,年初余额,年末余额"
资产负债表,"资产负债表,总资产合计,负债总额,权益合计,流动负债,期初余额,期末数"
资产负债表,"资产负债表,资产总额,负债合计,股东权益,流动资产,年初数,期末余额"
资产负债表,"资产负债表,资产总计,总负债,所有者权益合计,非流动负债,期初数,年末余额"
资产负债表,"资产负债表,总资产额,负债合计,权益合计,流动资产,年初余额,期末数"
利润表,"利润表,主营业务收入,营业成本,毛利润,营业利润,累计金额,税费,未分配利润"
利润表,"利润表,主营收入,成本费用,净利润,利润总额,累计数,税额,未分配收益"
利润表,"利润表,核心业务收入,经营成本,盈利,总利润,累计金额,税金,未分配"
利润表,"利润表,主营业务收入,运营成本,毛利,营业利润,累计数,税费,未分配收益"
利润表,"利润表,主营收入,经营成本,净利润,总利润,累计金额,税额,未分配利润"
利润表,"利润表,核心业务收入,成本费用,毛利润,利润总额,累计数,税金,未分配"
利润表,"利润表,主营业务收入,营业成本,净利润,营业利润,累计金额,税费,未分配收益"
利润表,"利润表,主营收入,运营成本,盈利,总利润,累计数,税额,未分配利润"
利润表,"利润表,核心业务收入,经营成本,毛利润,净利润,累计金额,税金,未分配"
利润表,"利润表,主营业务收入,成本费用,营业利润,利润总额,累计数,税费,未分配收益"
转账支票,"转账支票,出票日期,收款人全称,付款行名称,用途,人民币大写,出票人账号"
转账支票,"转账支票,出票日,收款方名称,付款银行,款项用途,大写金额,出票人账户"
转账支票,"转账,出票,收款,付款,用途,人民币,出票人账号"
转账支票,"转账支票,日期,收款人,付款行,用途说明,人民币金额,出票账号"
转账支票,"转账支票,出票日期,收款方全称,付款银行名称,用途,大写人民币,出票人账户"
转账支票,"转账支票,出票日,收款人名称,付款行,款项用途,人民币大写,出票账号"
转账支票,"转账支票,日期,收款方,付款银行,用途说明,大写金额,出票人账号"
转账支票,"转账支票,出票日期,收款人,付款行名称,用途,金额大写,出票人账户"
转账支票,"转账支票,出票日,收款方全称,付款银行,款项用途,人民币金额,出票账号"
转账支票,"转账支票,日期,收款人名称,付款行,用途说明,大写人民币,出票人账号"
转账支票,"转账支票,出票日期,收款方,付款银行名称,用途,金额大写,出票人账户"
特种转账传票,"特种转账传票,贷方,借方,单位名称,金额,收款银行,付款银行,开户行行号"
特种转账传票,"特种转账,贷方金额,借方金额,单位全称,金额数,收款方,付款方,开户行"
特种转账传票,"特种转账,贷方账户,借方账户,单位,金额数值,收款行,付款行,开户银行"
特种转账传票,"特种转账传票,贷方户,借方户,单位名称,金额,收款行,付款行,开户行行号"
特种转账传票,"特种转账,贷方金额,借方金额,单位名称,金额数,收款银行,付款银行,开户行"
特种转账传票,"特种转账传票,贷方账户,借方账户,单位全称,金额,收款方,付款方,开户银行"
特种转账传票,"特种转账,贷方,借方,单位,金额数值,收款银行,付款银行,开户行行号"
特种转账传票,"特种转账传票,贷方金额,借方金额,单位,金额数,收款行,付款行,开户行"
特种转账传票,"特种转账,贷方账户,借方账户,单位名称,金额数值,收款银行,付款银行,开户银行"
特种转账传票,"特种转账传票,贷方,借方,单位全称,金额,收款方,付款方,开户行行号"
进账单,"进账单,凭证号,贷方账户,票据种类,票据号码,出票人,收款人,金额大写"
进账单,"进账凭证,编号,贷方户名,票据类型,号码,出票人名称,收款人名称,人民币金额"
进账单,"进账,凭证编号,贷方账户名,票据种类,票号,出票人全称,收款人全称,金额"
进账单,"进账单,凭证编号,贷方户名,票据类型,票据号码,出票人名称,收款人,金额大写"
进账单,"进账凭证,凭证号,贷方账户,票据种类,号码,出票人全称,收款人名称,人民币金额"
进账单,"进账,编号,贷方账户名,票据类型,票据号码,出票人,收款人全称,金额大写"
进账单,"进账单,凭证号,贷方账户名,票据种类,票号,出票人名称,收款人全称,人民币金额"
进账单,"进账凭证,凭证编号,贷方户名,票据类型,票据号码,出票人全称,收款人,金额"
进账单,"进账,凭证号,贷方账户,票据种类,号码,出票人名称,收款人全称,金额大写"
进账单,"进账单,编号,贷方户名,票据类型,票号,出票人全称,收款人名称,人民币金额"
